Name,Wiki URL,Image URL,Description
Ali (actor),https://en.wikipedia.org/wiki/Ali_(actor),https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Ali_Telugu_actor.jpg/220px-Ali_Telugu_actor.jpg,"Ali Basha (born 10 October 1968) is an Indian actor and TV presenter who works predominantly in Telugu cinema. He acted in more than 1000 films in Telugu, Tamil and Hindi."
Zubeen Garg,https://en.wikipedia.org/wiki/Zubeen_Garg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Zubeen_Garg_in_Edufest_2016.jpg/220px-Zubeen_Garg_in_Edufest_2016.jpg,"Zubeen Garg (born Zubin Borthakur; 18 November 1971) is an Indian playback singer, music director, composer, lyricist,  music producer, film director, film producer, actor and philanthropist. His contributions are mostly attributed in Assamese, Bengali and Bollywood films and music. Besides, his songs in Assamese, Garg has sung many songs in other languages and dialects, including Bishnupriya Manipuri, Bodo, English, Goalparia, Hindi , Kannada, Karbi, Khasi, Malayalam, Marathi,  Nepali, Odia, Sanskrit, Telugu, Tiwa. He is also an instrumentalist and plays dhol, drums, guitar, harmonium, mandolin, keyboard and various percussion instruments."
Zulfi Syed,https://en.wikipedia.org/wiki/Zulfi_Syed,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Zulfi_Syed_at_the_opening_of_Fluke_store.jpg/220px-Zulfi_Syed_at_the_opening_of_Fluke_store.jpg,Zulfi Syed also known as Zulfikar Syed is an Indian model and actor. Syed Zulfi is a former winner of Gladrags Manhunt Contest. He was a contestant in Bigg Boss.
Zeishan Quadri,https://en.wikipedia.org/wiki/Zeishan_Quadri,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Zeshan_Qadri.jpg/220px-Zeshan_Qadri.jpg,"Zeishan Quadri is an Indian writer, actor, director and producer who has written the story and co-written the screenplay for the Bollywood crime genre film Gangs of Wasseypur, directed by Anurag Kashyap. Quadri has also acted in Gangs of Wasseypur - Part 2. He has directed and produced the film Meeruthiya Gangsters."
Zayed Khan,https://en.wikipedia.org/wiki/Zayed_Khan,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Zayed_Khan_IIFA_2013_Airport.jpg/220px-Zayed_Khan_IIFA_2013_Airport.jpg,Zayed Abbas Khan (born 5 July 1980) is an Indian actor and producer who appears in Hindi films. He has received a Filmfare Award nomination and is the son of Bollywood actor Sanjay Khan.
Allu Sirish,https://en.wikipedia.org/wiki/Allu_Sirish,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Allu_Sirish_filmfare.jpg/220px-Allu_Sirish_filmfare.jpg,"Allu Sirish is an Indian film actor who works predominantly in the Telugu film industry
along with a few Tamil and Malayalam films. Sirish is also the CEO and founder of Southscope magazine."
Yugendran,https://en.wikipedia.org/wiki/Yugendran,,"Yugendran (born Yugendran Vasudevan on 20 December 1976) is an Indian film actor and singer who has sung hundreds of songs in Tamil, Telugu and Malayalam.  He is also an occasional music director and host."
Yugi Sethu,https://en.wikipedia.org/wiki/Yuhi_Sethu,,"Yugi Sethu is an Indian actor, filmmaker, writer, entrepreneur, television presenter, academician, critic and art historian who has worked in the Tamil film industry. An extremely versatile personality, he has been conferred doctorate (PhD) in cinema by the Madras University in July 2015, for his Thesis entitled: ‘Development of a new box office predictability model’.  He has appeared in a few films in main and supporting roles and has contributed to films as a screenwriter.He has hosted close to 1000 T.V. talk shows [Nayyandi Darbar, Sethuvudan Darbar, Yugiyudan Yugiyungal,etc...] and has been a jury since inception for popular ""Star Vijay TV Movie Awards"". He has played memorable stellar roles in Tamil blockbuster hit movies- AR Muragadoss' Ramana [with Vijaykanth], KS Ravikumar's Panchathanthiram [with Kamal Hasan]."
Yogesh (actor),https://en.wikipedia.org/wiki/Yogesh_(actor),,"Yogesh (born 6 July 1990), better known by his nick names Yogi or Loose Maada, is an Indian actor and singer who predominantly appears in Kannada language films."
Yatin Karyekar,https://en.wikipedia.org/wiki/Yatin_Karyekar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Yatin_Karyekar.jpg/220px-Yatin_Karyekar.jpg,Yatin Karyekar (born 1 July 1966) is a veteran Indian actor in the Bollywood film industry. He was also part of long running television serial Shanti. He appeared in the role of Aurangzeb in popular Marathi serial Raja Shivchhatrapati.
Yash Tandon,https://en.wikipedia.org/wiki/Yash_Tandon,,"Yashpal Tandon (born 21 June 1939) is a Ugandan policymaker, political activist, professor, author and public intellectual. He has lectured extensively in the areas of International Relations and Political economy. He was deeply involved in the struggle against the dictatorship of Idi Amin in 1970's Uganda and has spent time in exile. He is the author and editor of numerous books and articles and has served on the editorial boards of many journals."
Yash Tonk,https://en.wikipedia.org/wiki/Yash_Tonk,,"Yash Tonk (born 30 October 1971) is an Indian actor from Sonipat District, Haryana. He was brought up at Hisar, Haryana where his father works as Chief Security officer in Haryana Agricultural University, Hisar. He studied at Campus School in Hisar. He graduated from Sri Aurobindo College University of Delhi. He is married to Gauri Yadav; they were a popular couple on the TV show Nach Baliye 2 and they made it to finals. They have two daughters, Pari and Myrah."
VTV Ganesh,https://en.wikipedia.org/wiki/VTV_Ganesh,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/India_film_clapperboard_%28variant%29.svg/29px-India_film_clapperboard_%28variant%29.svg.png,"Ganesh Simbhu, also known by his stage name VTV Ganesh is an Indian actor, comedian and film producer. He is best known for his hoarse voice, and his appearances in films featuring Silambarasan. He had made his debut in Tamil movie Red (2002) directed by Singampuli."
Yash Pandit,https://en.wikipedia.org/wiki/Yash_Pandit,,Yash Pandit (born 20 September 1977) is a Bollywood and television actor.
Yash (actor),https://en.wikipedia.org/wiki/Yash_(Kannada_actor),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Yash_kgf_event.jpg/220px-Yash_kgf_event.jpg,"Naveen Kumar, known by his stage name as Yash, is an Indian film actor from Kannada cinema. He is known for his roles in the movies Rajadhani, Mr. and Mrs. Ramachari, Kirataka, K.G.F: Chapter 1. His latest film K.G.F: Chapter 2 is scheduled to be released on October 23, 2020."
Yashpal Sharma (actor),https://en.wikipedia.org/wiki/Yashpal_Sharma_(actor),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Yashpal_Sharma.jpg/220px-Yashpal_Sharma.jpg,"Yashpal Sharma is an Indian Bollywood actor and theatre artist. He is best known for his role as Randhir Singh in Sudhir Mishra's 2003 Hindi movie Hazaaron Khwaishein Aisi, apart from  Lagaan (2001), Gangaajal (2003), Ab Tak Chhappan (2004), Apaharan (2005), Singh Is Kinng (2008), Aarakshan (2011) and Rowdy Rathore (2012). He played Kuwar Singh in Zee's Mera Naam Karegi Roshan. Yashpal is also a stage actor and appears in live plays. He formerly starred in Zee's Neeli Chhatri Waale. The Haryanvi  film Pagdi The Honour was awarded with ""62nd National Film Awards""."
Vivek (actor),https://en.wikipedia.org/wiki/Vivek_(actor),https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Vivek_at_the_Ezhumin_Press_Meet.jpg/220px-Vivek_at_the_Ezhumin_Press_Meet.jpg,"Vivekanandan, known by his stage name Vivek, is an Indian film actor, comedian, television personality, playback singer and activist working in the Tamil film industry."
Vivek Oberoi,https://en.wikipedia.org/wiki/Vivek_Oberoi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Vivek_Filmfare-Awards-Marathi-2016-5.jpg/220px-Vivek_Filmfare-Awards-Marathi-2016-5.jpg,Vivek Oberoi (born Vivek Anand Oberoi on 3 September 1976) is an Indian film actor. He made his film debut with Ram Gopal Varma's Company (2002) which won him two Filmfare Awards.
Vishnu Vishal,https://en.wikipedia.org/wiki/Vishnu_(actor),https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Vishnu_Vishal_at_Velainu_Vandhutta_Vellaikaaran_Press_Meet.jpg/220px-Vishnu_Vishal_at_Velainu_Vandhutta_Vellaikaaran_Press_Meet.jpg,"Vishnu Vishal is an Indian actor and producer who appears in Tamil language films. After a brief career in cricket, he started his acting career in the year 2009 playing the lead role in the sports film Vennila Kabadi Kuzhu, winning acclaim for his portrayal. Vishnu won further acclaim for his role in Neerparavai (2012), portraying a fisherman. He rose to fame with the psychological thriller film, Ratsasan (2018)."
Vishnuvardhan (actor),https://en.wikipedia.org/wiki/Vishnuvardhan_(actor),,"Dr.Vishnuvardhan (18 September 1950 – 30 December 2009), born Sampath Kumar, was an Indian film actor predominantly in Kannada cinema. He appeared in over 220 films in Kannada, Hindi, Telugu, Tamil and Malayalam. He was  called 'The Phoenix of Indian Cinema'. He made his debut in the 1972 film, Vamsha Vriksha, in a supporting role. The same year he played the lead role in Puttanna Kanagal's Naagarahaavu, and was recognized as  'The Angry Young Man of Kannada Cinema'. He has played a variety of roles in different genres."
Vipin Sharma,https://en.wikipedia.org/wiki/Vipin_Sharma,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Vipin_Sharma_at_the_launch_of_Shubra_Harsha_Verma%E2%80%99s_book_%E2%80%98Zero_The_Striptease_of_Conscience%E2%80%99.jpg/220px-Vipin_Sharma_at_the_launch_of_Shubra_Harsha_Verma%E2%80%99s_book_%E2%80%98Zero_The_Striptease_of_Conscience%E2%80%99.jpg,"Vipin Sharma is an Indian film actor known for his works predominantly in Hindi cinema. He is an alumnus of  National School of Drama, New Delhi, India and the Canadian Film Centre, Toronto, Ontario, Canada.
In Taare Zameen Par (2007), written by Amole Gupte and directed by Aamir Khan, he played the role of a dyslexic child's father.
 He was last seen in the popular web series What The Folks, produced by Dice Media, which ended up being one of India's most successful digital shows of 2017."
Vinod Mehra,https://en.wikipedia.org/wiki/Vinod_Mehra,https://upload.wikimedia.org/wikipedia/en/thumb/6/6c/Vinod_Mehra_%281945_%E2%80%93_1990%29.jpg/220px-Vinod_Mehra_%281945_%E2%80%93_1990%29.jpg,Vinod Mehra (13 February 1945 – 30 October 1990) was an Indian actor in Bollywood films. He started out as a child actor in the late 1950s before starting his film career as an adult in 1971. He acted in over 100 films from the 1970s through to his death at the age of 45 in 1990. He was also the producer and director of the film Gurudev which was released 3 years after his death.
Vineeth Sreenivasan,https://en.wikipedia.org/wiki/Vineeth_Sreenivasan,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Vineeth_Sreenivasan_Aravindante_Athidhikal.jpg/220px-Vineeth_Sreenivasan_Aravindante_Athidhikal.jpg,"Vineeth Sreenivasan (born 1 October 1985) is an Indian playback singer, actor, film director, screenwriter, producer, lyricist, creative director and dubbing artist. He works in Malayalam cinema. Vineeth is son of the actor-screenwriter Sreenivasan."
Vishnu Manchu,https://en.wikipedia.org/wiki/Vishnu_Manchu,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Vishnu-manchu.jpeg/220px-Vishnu-manchu.jpeg,"Vishnu Manchu (born 23 November 1982) is an Indian film actor, producer and director known for his works in Telugu cinema and television."
Vishal Karwal,https://en.wikipedia.org/wiki/Vishal_Karwal,https://upload.wikimedia.org/wikipedia/commons/8/8c/Vishal_Karwal.png,"Vishal Karwal  is an Indian television-film actor. He has played some of the famous serials like Bhagyavidhaata, Rishton Se Badi Pratha and Rangrasiya. He participated in MTV Roadies, MTV Splitsvilla and Bigg Boss. He has also appeared in a lead role in Vikram Bhatt's horror thriller 1920 London in 2016."
Vishal (actor),https://en.wikipedia.org/wiki/Vishal_Krishna,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Vishal_at_CCL_4_Launch_%28cropped%29.jpg/220px-Vishal_at_CCL_4_Launch_%28cropped%29.jpg,"Vishal Krishna Reddy (born 29 August 1977) is an Indian film actor and producer who works in the Tamil film industry. The younger son of film producer G. K. Reddy, Vishal studied Visual Communications at Loyola College, Chennai. Best known for his roles in action films, he produces films under his production company, Vishal Film Factory."
Vivek Mushran,https://en.wikipedia.org/wiki/Vivek_Mushran,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Vivek_musharan_colors_indian_telly_awards_cropped.jpg/220px-Vivek_musharan_colors_indian_telly_awards_cropped.jpg,"Vivek Mushran (born 9 August 1969) is an Indian actor. After leaving Sherwood College, Nainital, he started his career in 1991 with the blockbuster Hindi movie Saudagar and has appeared in many other movies, including Ram Jaane, the Sachin-directed Aisi bhi kya jaldi hai, First Love Letter, and Anjaane. He has also acted in the STAR Plus TV sitcom Son Pari, the Zee TV serial Kittie Party, and he was seen in the Sony TV serial Bhaskar Bharti and the Doordarshan TV serial Ae Dil-E-Naadaan. The serial he worked in most recently was Baat Hamari Pakki Hai on Sony TV. He has sung songs in his album Kahin Kho Gaya. His latest role was as Inder, Saachi's uncle in Baat Hamari Pakki Hai (Sony TV). He also worked in Parvarrish – Kuchh Khattee Kuchh Meethi. he  worked in the serial Nisha Aur Uske Cousins and played the role of the father of the main character, where his character was appreciated by the audience. He has also played the role of Vikramjeet Singh in Sony TV series Main Maike Chali Jaungi Tum Dekhte Rahiyo."
Viineet Kumar,https://en.wikipedia.org/wiki/Vineet_Kumar_Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Vineet_Kumar_Singh_Actor.jpg/220px-Vineet_Kumar_Singh_Actor.jpg,"Viineet Kumar is an Indian film actor and writer. After few series of performances in his early career including the 2010 film City of Gold, he got noticed for his role in films like Bombay Talkies  and Gangs of Wasseypur. His role in Ugly and the portrayal of the character Milan Shukla in the film Daas Dev won him appreciation. He made his debut as lead actor in the 2018 Anurag Kashyap film Mukkabaaz."
Vineeth,https://en.wikipedia.org/wiki/Vineeth,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Vineeth_2008.jpg/220px-Vineeth_2008.jpg,"Vineeth Radhakrishnan (born 23 August 1969) is an Indian film actor, classical dancer and voice artist, known for his works predominantly in Malayalam and Tamil films. He has also starred in a few Telugu, Kannada and Bollywood films."
Vindu Dara Singh,https://en.wikipedia.org/wiki/Vindu_Dara_Singh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Vindu_dara_singh_cropped.jpg/220px-Vindu_dara_singh_cropped.jpg,Virendra Singh Randhawa better known as Vindu Dara Singh (6 May 1964) is an Indian film and television actor. He is the winner of the third season of Bigg Boss.
Himanshu Malik,https://en.wikipedia.org/wiki/Himanshu_Malik,,"Himanshu Malik is an Indian film actor, screenwriter and producer known for his works in Bollywood. He started his acting career with the film, Kama Sutra: A Tale of Love (1996) and gained recognition with his portrayal of Abhigyan, a wealthy Canadian industrialist in the 2001 romance Tum Bin. His other notable work includes Jungle (2000), Khwahish (2003) and Rog (2005)."
Vinayak Joshi,https://en.wikipedia.org/wiki/Vinayak_Joshi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Vinayak_Joshi_Joshelay_1.jpg/220px-Vinayak_Joshi_Joshelay_1.jpg,"Vinayak Joshi is an Indian film, television, web-series and theatre actor, Winner of best director in Thespo8. Former Radio jockey, Former Head of Digital communication at Flipkart, host of Saregamapa season 6, lead host of IPL 2019 in Starsports kannada. He has been a host in more than 1000 live events across 20 countries. Currently he is a corporate media consultant and an independent film maker. He recently acted, directed, produced and wrote a web-series called Joshelay. It features more than 28 stories of differently abled talents. First ever motivational web-series in India. It has collectively made a million views on youtube leaving the viewers motivated. 
He was born on 25 August 1987, Bangalore. His ancestral roots trace back to Dharwad district."
Raj Kiran (actor),https://en.wikipedia.org/wiki/Raj_Kiran_(Hindi_film_actor),https://upload.wikimedia.org/wikipedia/en/thumb/7/78/Raj_Kiran.jpg/220px-Raj_Kiran.jpg,"Raj Kiran Mahtani (born 5 February 1949) is a former Indian actor who is recognised for his work in Bollywood.  Born in a Sindhi family in Mumbai, he made his debut opposite Sarika in B. R. Ishara's Kaagaz Ki Nao (1975) and achieved the crest of his career in the 1980s, having appeared in more than 100 films."
Vinod Khanna,https://en.wikipedia.org/wiki/Vinod_Khanna,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Vinod_Khanna_at_Esha_Deol%27s_wedding_at_ISCKON_temple_11_%28cropped%29.jpg/220px-Vinod_Khanna_at_Esha_Deol%27s_wedding_at_ISCKON_temple_11_%28cropped%29.jpg,"Vinod Khanna (6 October 1946 – 27 April 2017) was an Indian actor, film producer and politician. He was the recipient of two Filmfare awards. He was also an active politician and was the MP from the Gurdaspur constituency between 1998–2009 and 2014–2017. In July 2002, Khanna became the minister for Culture and Tourism in the Atal Bihari Vajpayee cabinet. Six months later, he became the Minister of State for external affairs."
Kartik Aaryan,https://en.wikipedia.org/wiki/Kartik_Aaryan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Kartik_Aaryan_unveils_the_November_issue_of_Filmfare.jpg/220px-Kartik_Aaryan_unveils_the_November_issue_of_Filmfare.jpg,"Kartik Tiwari (born 22 November 1990), known professionally as Kartik Aaryan, is an Indian actor who appears in Hindi films. While pursuing an engineering degree in biotechnology, he dabbled in modelling and made attempts to start a career in film. After struggling for three years, Aaryan made his acting debut in 2011 with Pyaar Ka Punchnama, a buddy film about the romantic tribulations faced by three young men, which was directed by Luv Ranjan and co-starred Nushrat Bharucha."
Zakir Hussain (actor),https://en.wikipedia.org/wiki/Zakir_Hussain_(actor),https://upload.wikimedia.org/wikipedia/en/thumb/d/d9/Zakir_Hussain_Actor.jpeg/220px-Zakir_Hussain_Actor.jpeg,"Zakir Hussain is an Indian film actor who is known for his negative and comic roles. His best-known performances include those of Rashid in Ramgopal Varma's 2005 film Sarkar (an adaptation of The Godfather), Shardul in Sriram Raghavan's 2007 film Johnny Gaddaar and Prakash Rao in Rohit Shetty's Singham Returns ."
Vivaan Shah,https://en.wikipedia.org/wiki/Vivaan_Shah,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Vivaan_Shah_at_%27Gangs_Of_Wasseypur%27_screening_18.jpg/220px-Vivaan_Shah_at_%27Gangs_Of_Wasseypur%27_screening_18.jpg,"Vivaan Shah (born 11 January 1990) is an Indian film actor, who made his film debut with Saat Khoon Maaf (2011) as Arun Kumar. Thereafter, he signed a three-film deal with director Vishal Bhardwaj. In 2014, he was given a role in Farah Khan's film Happy New Year."
Ravi Dubey,https://en.wikipedia.org/wiki/Ravi_Dubey,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Ravi_Dubey_graces_Dadasaheb_Phalke_Film_Foundation_Awards_2019-05.jpg/240px-Ravi_Dubey_graces_Dadasaheb_Phalke_Film_Foundation_Awards_2019-05.jpg,"Ravi Dubey  (born 23 December 1983) is an Indian actor. He began his acting career in 2006 with a parallel leading role in the DD National TV show Stree... Teri Kahaani and followed it with roles in lesser successful shows like Doli Saja Ke (2007) and Yahan Ke Hum Sikandar (2007), before starring in the popular family drama show Saas Bina Sasural (2010) and Jamai Raja (2014), which established him as one of the most popular and leading actors of Indian television industry. He recently was the host of Star Plus's game show Sabse Smart Kaun."
Varun Sharma,https://en.wikipedia.org/wiki/Varun_Sharma,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Varun_Sharma.jpg/220px-Varun_Sharma.jpg,"Varun Sharma (born 4 February 1990) is an Indian film actor who has starred in commercially successful films including Fukrey (2013) and Kis Kisko Pyaar Karoon (2015). Following a series of financial failures, his highest-grossing releases came with the action comedies Dilwale (2015), Fukrey Returns (2017), and Chhichhore (2019)."
 (film),https://en.wikipedia.org/wiki/Varun_Mitra,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/Jalebi_Movie_poster.jpg/220px-Jalebi_Movie_poster.jpg,"Jalebi is a 2018 Indian Hindi-language romantic musical drama film directed by Pushpdeep Bhardwaj. It's an official remake of the Bengali film Praktan (2016), Jalebi stars Rhea Chakraborty, debutant Varun Mitra and Digangana Suryavanshi in lead roles.
The film's soundtrack was released on 21 September 2018.Jeet Gannguli, Tanishk Bagchi, Javed-Mohsin, Abhishek Mishra and Samuel–Akanksha composed the soundtrack of the film. Music Produced By Dj Phukan, Samuel Shetty & Akanksha Nandrekar, Chandan Saxena, Krishna Kishore. The lyrics are written by Rashmi Virag, Prashant Ingole, Manoj Kumarnath, Arafat Mehmood and Kunaal Vermaa."
Virendra Saxena,https://en.wikipedia.org/wiki/Virendra_Saxena,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Virendra_Saxena.JPG/220px-Virendra_Saxena.JPG,"Virendra Saxena is an Indian theatre, film and television actor. He is an alumnus of the National School of Drama. Saxena is known for his character roles as well as his unique voice. He has acted in more than 80 Indian films and a few English-language films such as White Rainbow, Cotton Mary and In Custody. Prominent TV serials he has acted in include Ajnabi and Jassi Jaissi Koi Nahin."
